location_name,permit_number,start_time,stop_time,duration_minutes
5 SSO AT WELLINGBOROUGH,AnW1457,2021-01-28T22:15:00,2021-01-28T22:30:00,15.0
5 SSO AT WELLINGBOROUGH,AnW1457,2021-05-03T21:15:00,2021-05-03T21:15:00,0.0
5 SSO AT WELLINGBOROUGH,AnW1457,2021-05-10T10:30:00,2021-05-10T10:30:00,0.0
5 SSO AT WELLINGBOROUGH,AnW1457,2021-05-13T17:45:00,2021-05-13T18:00:00,15.0
5 SSO AT WELLINGBOROUGH,AnW1457,2021-06-18T12:45:00,2021-06-18T16:15:00,210.0
5 SSO AT WELLINGBOROUGH,AnW1457,2021-07-09T21:00:00,2021-07-09T21:00:00,0.0
5 SSO AT WELLINGBOROUGH,AnW1457,2021-07-28T14:45:00,2021-07-28T15:00:00,15.0
5 SSO AT WELLINGBOROUGH,AnW1457,2021-07-30T14:15:00,2021-07-30T14:15:00,0.0
5 SSO AT WELLINGBOROUGH,AnW1457,2021-08-22T01:30:00,2021-08-22T01:45:00,15.0
5 SSO AT WELLINGBOROUGH,AnW1457,2021-09-28T19:00:00,2021-09-28T19:15:00,15.0
5 SSO AT WELLINGBOROUGH,AnW1457,2021-09-28T19:30:00,2021-09-28T19:45:00,15.0
5 SSO AT WELLINGBOROUGH,AnW1457,2021-10-20T02:45:00,2021-10-20T03:00:00,15.0
5 SSO AT WELLINGBOROUGH,AnW1457,2021-10-20T03:45:00,2021-10-20T03:45:00,0.0
5 SSO AT WELLINGBOROUGH,AnW1457,2021-10-29T10:15:00,2021-10-29T10:30:00,15.0
5 SSO AT WELLINGBOROUGH,AnW1457,2021-10-31T10:30:00,2021-10-31T10:30:00,0.0
5 SSO AT WELLINGBOROUGH,AnW1457,2021-12-07T16:00:00,2021-12-07T16:15:00,15.0
5 SSO AT WELLINGBOROUGH,AnW1457,2021-12-28T08:45:00,2021-12-28T09:00:00,15.0
ABINGTON TANK CSO,AnW0955,2021-05-04T21:04:00,2021-05-04T21:20:00,16.0
ABINGTON TANK CSO,AnW0955,2021-05-25T18:10:00,2021-05-25T18:26:00,16.0
ABINGTON TANK CSO,AnW0955,2021-06-19T12:24:00,2021-06-19T14:56:00,152.0
ABINGTON TANK CSO,AnW0955,2021-06-19T14:56:00,2021-06-19T14:58:00,2.0
ABINGTON TANK CSO,AnW0955,2021-06-19T15:02:00,2021-06-19T15:04:00,2.0
ABINGTON TANK CSO,AnW0955,2021-09-15T10:24:00,2021-09-15T10:30:00,6.0
ABINGTON TANK CSO,AnW0955,2021-09-29T19:10:00,2021-09-29T19:48:00,38.0
ABINGTON TANK CSO,AnW0955,2021-10-21T03:16:00,2021-10-21T03:24:00,8.0
ABINGTON TANK CSO,AnW0955,2021-10-21T03:26:00,2021-10-21T03:28:00,2.0
ABINGTON TANK CSO,AnW0955,2021-10-21T03:32:00,2021-10-21T04:10:00,38.0
AKELEY (EX STW) PS,AnW0003,2021-01-15T02:00:00,2021-01-16T04:00:00,1560.0
AKELEY (EX STW) PS,AnW0003,2021-01-16T04:00:00,2021-01-16T04:15:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-16T04:30:00,2021-01-16T04:45:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-16T04:45:00,2021-01-16T05:00:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-16T05:00:00,2021-01-16T05:15:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-16T05:15:00,2021-01-16T05:30:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-16T05:45:00,2021-01-16T06:00:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-16T06:15:00,2021-01-16T06:30:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-16T06:30:00,2021-01-16T06:45:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-16T07:15:00,2021-01-16T08:45:00,90.0
AKELEY (EX STW) PS,AnW0003,2021-01-16T08:45:00,2021-01-16T10:15:00,90.0
AKELEY (EX STW) PS,AnW0003,2021-01-16T10:15:00,2021-01-16T10:30:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-16T11:00:00,2021-01-16T11:15:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-16T11:30:00,2021-01-16T11:45:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-16T11:45:00,2021-01-16T12:00:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-16T13:00:00,2021-01-16T13:15:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-16T13:30:00,2021-01-16T13:45:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-17T06:45:00,2021-01-18T00:45:00,1080.0
AKELEY (EX STW) PS,AnW0003,2021-01-18T01:00:00,2021-01-18T01:15:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-18T01:15:00,2021-01-18T01:30:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-18T01:30:00,2021-01-18T01:45:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-18T01:45:00,2021-01-18T02:00:00,15.0
