location_name,permit_number,start_time,stop_time,duration_minutes
ABBEY ROAD/NO 2 CSO,YWS00231,2025-01-05T22:15:00,2025-01-05T23:00:00,45.0
ABBEY ROAD/NO 2 CSO,YWS00231,2025-01-05T23:00:00,2025-01-05T23:45:00,45.0
ABBEY ROAD/NO 2 CSO,YWS00231,2025-01-06T04:00:00,2025-01-06T04:15:00,15.0
ABBEY ROAD/NO 2 CSO,YWS00231,2025-01-06T05:00:00,2025-01-06T06:30:00,90.0
ABBEY ROAD/NO 2 CSO,YWS00231,2025-01-06T06:30:00,2025-01-06T07:00:00,30.0
ABBEY ROAD/NO 2 CSO,YWS00231,2025-01-06T07:15:00,2025-01-06T07:30:00,15.0
ABBEY ROAD/NO 2 CSO,YWS00231,2025-01-06T07:30:00,2025-01-06T07:45:00,15.0
ABBEY ROAD/NO 2 CSO,YWS00231,2025-03-22T07:00:00,2025-03-22T14:15:00,435.0
ABBEY ROAD/NO 2 CSO,YWS00231,2025-05-24T01:00:00,2025-05-24T01:15:00,15.0
ABBEY ROAD/NO 2 CSO,YWS00231,2025-07-19T16:00:00,2025-07-19T16:15:00,15.0
ABBEY ROAD/NO 2 CSO,YWS00231,2025-07-20T14:00:00,2025-07-20T16:15:00,135.0
ABBEY ROAD/NO 2 CSO,YWS00231,2025-07-20T16:45:00,2025-07-20T17:30:00,45.0
ABBEY ROAD/NO 2 CSO,YWS00231,2025-09-04T13:45:00,2025-09-04T14:15:00,30.0
ABBEY ROAD/NO 2 CSO,YWS00231,2025-09-20T13:15:00,2025-09-20T14:30:00,75.0
ABBEY ROAD/NO 2 CSO,YWS00231,2025-09-20T15:30:00,2025-09-20T16:15:00,45.0
ABBEY ROAD/NO 2 CSO,YWS00231,2025-09-20T17:00:00,2025-09-20T17:45:00,45.0
ABBEY ROAD/NO 2 CSO,YWS00231,2025-09-20T18:00:00,2025-09-20T20:15:00,135.0
ABBEY ROAD/NO 2 CSO,YWS00231,2025-09-20T21:00:00,2025-09-21T00:30:00,210.0
ABBEY ROAD/NO 2 CSO,YWS00231,2025-10-03T14:15:00,2025-10-03T16:00:00,105.0
ABBEY ROAD/NO 2 CSO,YWS00231,2025-10-03T16:30:00,2025-10-03T16:45:00,15.0
